Species Name,Type,Source,Range ,COSEWICID
Branta hutchinsii,Common Species,eBird,Yes,NA
Branta canadensis,Common Species,eBird,Yes,NA
Cygnus olor,Common Species,eBird,Yes,NA
Cygnus melancoryphus,Common Species,eBird,Yes,NA
Cygnus buccinator,Common Species,eBird,Yes,NA
Cygnus columbianus,Common Species,eBird,Yes,NA
Coscoroba coscoroba,Common Species,eBird,Yes,NA
Oressochen jubatus,Common Species,eBird,Yes,NA
Oressochen melanopterus,Common Species,eBird,Yes,NA
Alopochen aegyptiaca,Common Species,eBird,Yes,NA
Tadorna variegata,Common Species,eBird,Yes,NA
Tadorna tadorna,Common Species,eBird,Yes,NA
Cairina moschata,Common Species,eBird,Yes,NA
Aix sponsa,Common Species,eBird,Yes,NA
Hymenolaimus malacorhynchos,Common Species,eBird,Yes,NA
Spatula discors,Common Species,eBird,Yes,NA
Spatula cyanoptera,Common Species,eBird,Yes,NA
Spatula clypeata,Common Species,eBird,Yes,NA
Mareca strepera,Common Species,eBird,Yes,NA
Mareca penelope,Common Species,eBird,Yes,NA
Mareca americana,Common Species,eBird,Yes,NA
Anas platyrhynchos,Common Species,eBird,Yes,NA
Anas diazi,Common Species,eBird,Yes,NA
Anas rubripes,Common Species,eBird,Yes,NA
Anas fulvigula,Common Species,eBird,Yes,NA
Anas bahamensis,Common Species,eBird,Yes,NA
Anas acuta,Common Species,eBird,Yes,NA
Anas georgica,Common Species,eBird,Yes,NA
Anas crecca,Common Species,eBird,Yes,NA
Anas gracilis,Common Species,eBird,Yes,NA
Netta peposaca,Common Species,eBird,Yes,NA
Aythya valisineria,Common Species,eBird,Yes,NA
Aythya americana,Common Species,eBird,Yes,NA
Aythya collaris,Common Species,eBird,Yes,NA
Aythya fuligula,Common Species,eBird,Yes,NA
Aythya marila,Common Species,eBird,Yes,NA
Aythya affinis,Common Species,eBird,Yes,NA
Polysticta stelleri,Common Species,eBird,Yes,NA
Somateria fischeri,Common Species,eBird,Yes,NA
Somateria spectabilis,Common Species,eBird,Yes,NA
Somateria mollissima,Common Species,eBird,Yes,NA
Histrionicus histrionicus,Common Species,eBird,Yes,NA
Melanitta perspicillata,Common Species,eBird,Yes,NA
Melanitta deglandi,Common Species,eBird,Yes,NA
Melanitta americana,Common Species,eBird,Yes,NA
Clangula hyemalis,Common Species,eBird,Yes,NA
Bucephala albeola,Common Species,eBird,Yes,NA
Bucephala clangula,Common Species,eBird,Yes,NA
Bucephala islandica,Common Species,eBird,Yes,NA
Lophodytes cucullatus,Common Species,eBird,Yes,NA
Mergus merganser,Common Species,eBird,Yes,NA
Mergus serrator,Common Species,eBird,Yes,NA
Heteronetta atricapilla,Common Species,eBird,Yes,NA
Nomonyx dominicus,Common Species,eBird,Yes,NA
Oxyura jamaicensis,Common Species,eBird,Yes,NA
Ortalis vetula,Common Species,eBird,Yes,NA
Ortalis columbiana,Common Species,eBird,Yes,NA
Pipile jacutinga,Common Species,eBird,Yes,NA
Crax fasciolata,Common Species,eBird,Yes,NA
Oreortyx pictus,Common Species,eBird,Yes,NA
Colinus virginianus,Common Species,eBird,Yes,NA
Callipepla squamata,Common Species,eBird,Yes,NA
Callipepla californica,Common Species,eBird,Yes,NA
Callipepla gambelii,Common Species,eBird,Yes,NA
Cyrtonyx montezumae,Common Species,eBird,Yes,NA
Odontophorus melanonotus,Common Species,eBird,Yes,NA
Meleagris gallopavo,Common Species,eBird,Yes,NA
Bonasa umbellus,Common Species,eBird,Yes,NA
Centrocercus urophasianus,Common Species,eBird,Yes,NA
Centrocercus minimus,Common Species,eBird,Yes,NA
Dendragapus obscurus,Common Species,eBird,Yes,NA
Dendragapus fuliginosus,Common Species,eBird,Yes,NA
Tympanuchus phasianellus,Common Species,eBird,Yes,NA
Tympanuchus cupido,Common Species,eBird,Yes,NA
Tympanuchus pallidicinctus,Common Species,eBird,Yes,NA
Lagopus leucura,Common Species,eBird,Yes,NA
Lagopus lagopus,Common Species,eBird,Yes,NA
Lagopus muta,Common Species,eBird,Yes,NA
Canachites canadensis,Common Species,eBird,Yes,NA
Perdix perdix,Common Species,eBird,Yes,NA
Phasianus colchicus,Common Species,eBird,Yes,NA
Gallus sonneratii,Common Species,eBird,Yes,NA
Ortygornis gularis,Common Species,eBird,Yes,NA
Coturnix coturnix,Common Species,eBird,Yes,NA
Alectoris chukar,Common Species,eBird,Yes,NA
Phoenicopterus chilensis,Common Species,eBird,Yes,NA
Tachybaptus dominicus,Common Species,eBird,Yes,NA
Podilymbus podiceps,Common Species,eBird,Yes,NA
Podiceps auritus,Common Species,eBird,Yes,NA
Podiceps grisegena,Common Species,eBird,Yes,NA
Podiceps nigricollis,Common Species,eBird,Yes,NA
Podiceps occipitalis,Common Species,eBird,Yes,NA
Aechmophorus occidentalis,Common Species,eBird,Yes,NA
Aechmophorus clarkii,Common Species,eBird,Yes,NA
Columba livia,Common Species,eBird,Yes,NA
Patagioenas leucocephala,Common Species,eBird,Yes,NA
Patagioenas flavirostris,Common Species,eBird,Yes,NA
Patagioenas fasciata,Common Species,eBird,Yes,NA
Streptopelia turtur,Common Species,eBird,Yes,NA
Streptopelia decaocto,Common Species,eBird,Yes,NA
Streptopelia capicola,Common Species,eBird,Yes,NA
Streptopelia chinensis,Common Species,eBird,Yes,NA
Columbina inca,Common Species,eBird,Yes,NA
Columbina passerina,Common Species,eBird,Yes,NA
Columbina talpacoti,Common Species,eBird,Yes,NA
Columbina buckleyi,Common Species,eBird,Yes,NA
Geotrygon montana,Common Species,eBird,Yes,NA
Leptotila verreauxi,Common Species,eBird,Yes,NA
Zenaida meloda,Common Species,eBird,Yes,NA
Zenaida asiatica,Common Species,eBird,Yes,NA
Zenaida macroura,Common Species,eBird,Yes,NA
Hemiphaga novaeseelandiae,Common Species,eBird,Yes,NA
Pterocles orientalis,Common Species,eBird,Yes,NA
Crotophaga ani,Common Species,eBird,Yes,NA
Crotophaga sulcirostris,Common Species,eBird,Yes,NA
Morococcyx erythropygus,Common Species,eBird,Yes,NA
Geococcyx californianus,Common Species,eBird,Yes,NA
Clamator jacobinus,Common Species,eBird,Yes,NA
Coccyzus americanus,Common Species,eBird,Yes,NA
Coccyzus minor,Common Species,eBird,Yes,NA
Coccyzus erythropthalmus,Common Species,eBird,Yes,NA
Eudynamys scolopaceus,Common Species,eBird,Yes,NA
Eudynamys orientalis,Common Species,eBird,Yes,NA
Scythrops novaehollandiae,Common Species,eBird,Yes,NA
Chrysococcyx lucidus,Common Species,eBird,Yes,NA
Hierococcyx sparverioides,Common Species,eBird,Yes,NA
Cuculus canorus,Common Species,eBird,Yes,NA
Cuculus optatus,Common Species,eBird,Yes,NA
Chordeiles acutipennis,Common Species,eBird,Yes,NA
Chordeiles minor,Common Species,eBird,Yes,NA
Chordeiles gundlachii,Common Species,eBird,Yes,NA
Nyctidromus albicollis,Common Species,eBird,Yes,NA
Phalaenoptilus nuttallii,Common Species,eBird,Yes,NA
Antrostomus carolinensis,Common Species,eBird,Yes,NA
Antrostomus vociferus,Common Species,eBird,Yes,NA
Antrostomus arizonae,Common Species,eBird,Yes,NA
Caprimulgus ruficollis,Common Species,eBird,Yes,NA
Caprimulgus europaeus,Common Species,eBird,Yes,NA
Nyctibius griseus,Common Species,eBird,Yes,NA
Cypseloides niger,Common Species,eBird,Yes,NA
Chaetura pelagica,Common Species,eBird,Yes,NA
Chaetura vauxi,Common Species,eBird,Yes,NA
Apus melba,Common Species,eBird,Yes,NA
Apus apus,Common Species,eBird,Yes,NA
Apus unicolor,Common Species,eBird,Yes,NA
Apus pallidus,Common Species,eBird,Yes,NA
Aeronautes saxatalis,Common Species,eBird,Yes,NA
Panyptila sanctihieronymi,Common Species,eBird,Yes,NA
Colibri serrirostris,Common Species,eBird,Yes,NA
Colibri coruscans,Common Species,eBird,Yes,NA
Colibri delphinae,Common Species,eBird,Yes,NA
Colibri thalassinus,Common Species,eBird,Yes,NA
Colibri cyanotus,Common Species,eBird,Yes,NA
Sephanoides sephaniodes,Common Species,eBird,Yes,NA
Ramphomicron microrhynchum,Common Species,eBird,Yes,NA
Coeligena torquata,Common Species,eBird,Yes,NA
Patagona gigas,Common Species,eBird,Yes,NA
Eugenes fulgens,Common Species,eBird,Yes,NA
Heliomaster furcifer,Common Species,eBird,Yes,NA
Lampornis clemenciae,Common Species,eBird,Yes,NA
Thaumastura cora,Common Species,eBird,Yes,NA
Rhodopis vesper,Common Species,eBird,Yes,NA
Calothorax lucifer,Common Species,eBird,Yes,NA
Archilochus colubris,Common Species,eBird,Yes,NA
Archilochus alexandri,Common Species,eBird,Yes,NA
Calypte anna,Common Species,eBird,Yes,NA
Calypte costae,Common Species,eBird,Yes,NA
Selasphorus calliope,Common Species,eBird,Yes,NA
Selasphorus rufus,Common Species,eBird,Yes,NA
Selasphorus sasin,Common Species,eBird,Yes,NA
Selasphorus platycercus,Common Species,eBird,Yes,NA
Cynanthus latirostris/doubledayi,Common Species,eBird,Yes,NA
Chlorostilbon lucidus,Common Species,eBird,Yes,NA
Basilinna xantusii,Common Species,eBird,Yes,NA
Leucolia violiceps,Common Species,eBird,Yes,NA
Saucerottia beryllina,Common Species,eBird,Yes,NA
Saucerottia cyanifrons,Common Species,eBird,Yes,NA
Amazilia yucatanensis,Common Species,eBird,Yes,NA
Amazilia luciae,Common Species,eBird,Yes,NA
Rallus obsoletus,Common Species,eBird,Yes,NA
Rallus elegans,Common Species,eBird,Yes,NA
Rallus crepitans,Common Species,eBird,Yes,NA
Rallus limicola,Common Species,eBird,Yes,NA
Porzana carolina,Common Species,eBird,Yes,NA
Gallinula galeata,Common Species,eBird,Yes,NA
Fulica americana,Common Species,eBird,Yes,NA
Porphyrio martinica,Common Species,eBird,Yes,NA
Porphyrio poliocephalus,Common Species,eBird,Yes,NA
